id_tema,palabras_clave,nombre_tema
1,"mas, poder, agua, especie, hacer, animal, zona, tambien, mar, año",Cambio climático y medio ambiente
2,"poder, mas, cientifico, sistema, investigador, humano, hacer, estudio, materia, tambien",Ciencia y divulgación
3,"mas, año, poder, ser, hacer, dia, tambien, gobierno, segun, nuevo",Actualidad política y social
4,"mas, año, hacer, ser, poder, tambien, primero, decir, vez, dos",Opinión general y hechos recientes
5,"opera, concierto, guitarra, the, ballet, whisky, nomadland, grimes, rock, per",Cultura y espectáculos
